registration_id,boat_number_official,boat_number_status,boat_number_source_files,boat_number_source_sha256,boat_number_candidate_pdf,boat_number_candidate_match,public_name,technical_name,aliases,class,group,registration_sail_candidate,sail_country_code,sail_number,sail_suffix,sail_display,certificate_type,certificate_source_files,certificate_source_format,certificate_reference,model,rating_type,rating_value,issued_at,valid_until,certificate_status,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,conflicts,readiness_status,human_validation_required,human_validation_reasons
E22,10,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,10,SIM,Allaboard49,ALLABOARD49,Allaboard49 | ALLABOARD49,ANC,ANC-A,4900,POR,49,,POR 49,ANC,ALLABOARD49-POR_49 (2)(1).pdf,pdf,,Jeanneau Sun Odyssey 49 Performance,ANC,1.117,2026-07-24,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,registration_sail_4900_vs_certificate_POR_49,ready_with_documented_conflicts,SIM,registration_sail_4900_vs_certificate_POR_49
E04,6,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,6,SIM,Anthea,ANTHEA,Anthea | ANTHEA,ANC,ANC-A,8551,POR,8551,,POR 8551,ANC,ANTHEA-POR_8551(3).pdf,pdf,,Arcona 410,ANC,1.060,2026-04-10,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E35,20,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,20,SIM,Azul XL,AZUL XL,Azul XL | AZUL XL,ANC,ANC-A,1,POR,8022,,POR 8022,ANC,Certificado ANC AZUL_XL-POR_8022(1).pdf,pdf,,Elan 40,ANC,1.050,2026-03-20,2026-03-31,expired,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,registration_sail_1_vs_certificate_POR_8022 | certificate_expired_before_event,blocked_expired_certificate,SIM,certificate_expired | registration_sail_1_vs_certificate_POR_8022 | certificate_expired_before_event
E19,31,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,31,SIM,BALAYA,BALAYA,BALAYA | Balaya,ANC,ANC-A,8108,POR,8108,,POR 8108,ANC,"BALAYA-POR_8108 0,997(1).pdf",pdf,,Jeanneau Sun Kiss 47,ANC,0.997,2026-04-10,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E33,1,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,1,SIM,BIÃO II,BIÃO II,BIÃO II | Bião II,ORC,,4444,POR,4444,,POR 4444,ORC,bião II(4).pdf,pdf_page_images,03530004C1C,FIRST 40.7,APH_ToT,1.1304,2026-02-19,2027-01-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E27,2,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,2,SIM,BLU,BLU,BLU,ANC,ANC-A,3300,POR,3300,,POR 3300,ANC,BLU-POR_3300(3).pdf,pdf,,Grand Soleil 40 C,ANC,1.032,2026-04-10,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
E46,29,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,29,SIM,Farofino,FAROFINO,Farofino | FAROFINO,ORC,,2000,POR,2000,,POR 2000,ORC,Screenshot_20260723_233203_Chrome(1).jpg | Screenshot_20260723_233303_Chrome(1).jpg | Screenshot_20260723_233322_Chrome(1).jpg,image_set_no_pdf,03530004U0S,MUMM 30,APH_ToT,1.0945,2026-07-03,2027-01-31,valid_evidence_but_pdf_missing,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,certificate_available_only_as_screenshots,needs_certificate_pdf,SIM,certificate_pdf_missing | certificate_available_only_as_screenshots
E29,30,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,30,SIM,Feitiço,FEITICO,Feitiço | FEITIÇO | FEITICO,ORC,,406,POR,406,,POR 406,ORC,ORC Certificate for FEITICO(4).pdf,pdf,03530004VJT,PROTOTIPO 3/4 TON,APH_ToT,0.9973,2026-07-22,2027-01-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,registration_control_notes_livrete_and_insurance_pending,ready_with_documented_conflicts,SIM,registration_control_notes_livrete_and_insurance_pending
E30,17,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,17,SIM,First Way,FIRST WAY,First Way | FIRST WAY,ANC,ANC-A,13592,NOR,13592,,NOR 13592,ANC,2026_Abono FIRST_WAY-NOR_13592(1).pdf,pdf,,Bénéteau First Class 10,ANC,1.017,2026-04-10,2027-03-31,valid,SIM,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SIM,,ready,NÃO,
E38,18,official_confirmed_from_excel_screenshots,Captura de ecrã 2026-07-29 164622.png | Captura de ecrã 2026-07-29 164637.png,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989 | 40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,18,SIM,Foz do Ave,FOZ DO AVE,Foz do Ave | FOZ DO AVE,ANC,ANC-A,15008,FRA,15008,,FRA 15008,ANC,Certificado ANC_FOZ_DO_AVE-FRA_15008(1).pdf,pdf,,Jeanneau JOD 35,ANC,1.027,2026-06-05,2027-03-31,valid,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,,ready,NÃO,
