filename,category,subtype,extension,size_bytes,sha256,contains_or_may_contain_private_data,eligible_for_public_frontend,notes
0cfa4cef-d22e-4b7f-8ba9-c4447aa7013c.png,brand_asset,official_visual_asset,.png,547538,34ff264e3124c9aec1a9917680e3aa01d85f1b195331a729c0e191cbe231769c,False,True,Ativo visual institucional; preservar original.
2026_Abono FIRST_WAY-NOR_13592(1).pdf,certificate,anc_or_orc_certificate,.pdf,135612,a037b3979f071e1dc3404c4fe42845bdd76cee571ca9dcb34e629a0efa9dadb0,True,False,Certificado técnico; extrair apenas os campos aprovados.
Abono 30-05-26(1).pdf,certificate,anc_or_orc_certificate,.pdf,229529,14c001f0032f0724f5a53eca77ce10af3bb828150c021e2edba987ed55311025,True,False,Certificado técnico; extrair apenas os campos aprovados.
Abono ANC - MAR_ME_QUER-25698(1).pdf,certificate,anc_or_orc_certificate,.pdf,230359,b0401bfcd9f24eb1d7dd7dbbae5969ee09f83378cc26a422b299c3aafa38af39,True,False,Certificado técnico; extrair apenas os campos aprovados.
ALLABOARD49-POR_49 (2)(1).pdf,certificate,anc_or_orc_certificate,.pdf,229623,f86434bcc8875b134fb63a884ba0ab806f9b4397ec5b8a6f2a367751f2f9f7d2,True,False,Certificado técnico; extrair apenas os campos aprovados.
ANTHEA-POR_8551(3).pdf,certificate,anc_or_orc_certificate,.pdf,135583,e5478ac454d945e1daeaef1c9a25b11ed9233d1a6e97bb0efc32b2fe6fb08c24,True,False,Certificado técnico; extrair apenas os campos aprovados.
"BALAYA-POR_8108 0,997(1).pdf",certificate,anc_or_orc_certificate,.pdf,135548,030e72d2cf5f272caeafcb53b7c2f5c6e234d62f7d8cf332f347b826ccd430dc,True,False,Certificado técnico; extrair apenas os campos aprovados.
bião II(4).pdf,certificate,anc_or_orc_certificate,.pdf,972609,76d0963fb9fbd72cf37da875779cedaea1e9bb02a2855c9e24040da881c17a6f,True,False,Certificado técnico; extrair apenas os campos aprovados.
BLU-POR_3300(3).pdf,certificate,anc_or_orc_certificate,.pdf,135647,5086d3e6d863cb1ea2a2b5c85fc23d7fed63dd09020a13d02cc06782671c0259,True,False,Certificado técnico; extrair apenas os campos aprovados.
Captura de ecrã 2026-07-29 164622.png,spreadsheet_evidence,official_boat_registry_excel_screenshot,.png,42504,6b2563bac5630361400e27af865d815aca57ed6a14fc5a047b0150669e55b989,False,False,Fonte oficial confirmada para os números de barco das 30 embarcações.
Captura de ecrã 2026-07-29 164637.png,spreadsheet_evidence,official_boat_registry_excel_screenshot,.png,40097,40b2df1ce315ce6d3a1e7a8f9f97ceed64d577a2c9945db8b37c725ee8f24e5e,False,False,Fonte oficial confirmada para os números de barco das 30 embarcações.
Certificado ANC AZUL_XL-POR_8022(1).pdf,certificate,anc_or_orc_certificate,.pdf,229620,1a4b489463c8dcc1930b5223aedac50c9a4812a5b94712426ec3c550686bf7d2,True,False,Certificado técnico; extrair apenas os campos aprovados.
Certificado ANC_FOZ_DO_AVE-FRA_15008(1).pdf,certificate,anc_or_orc_certificate,.pdf,229650,eed590b19dd6b646f604fe334e034010819e47acd9f031c1e270acae9703bbfe,True,False,Certificado técnico; extrair apenas os campos aprovados.
Certificado medição ANC_MADMAX-POR_8137(1).pdf,certificate,anc_or_orc_certificate,.pdf,229688,e38b6aa3cfaae4aa1cd5f88b7e3f379ce3dee1fedcbf5987752ea76d70f43a60,True,False,Certificado técnico; extrair apenas os campos aprovados.
Controlo - Volta a Portugal 2026.xlsx,spreadsheet,event_operations_control,.xlsx,33640,2bffc8fb7360d87b27bdae1f0459b1b3c6c19b7460652dbd8ca056deac21a636,True,False,Workbook operacional; a tabela de embarcações foi confirmada em capturas separadas.
Controlo Inscrição VAP (1).pdf,registration,registration_document_control,.pdf,44127,e5c81a9ca64f665b89c97f1f7646c771fc3760e7c1375707e62df733d70103dc,True,False,Contém nomes de responsáveis e estado documental.
FUNBEL-POR_4508(3).pdf,certificate,anc_or_orc_certificate,.pdf,229553,e1d49b30d7ca4a296f8fea70399721edf611f44e77ea6fe0d88657bf01a450da,True,False,Certificado técnico; extrair apenas os campos aprovados.
GRAOULLY-25678(3).pdf,certificate,anc_or_orc_certificate,.pdf,135725,e23b300d2c21764795308ac4ed0a8ae0be4981faceea8e46aa5468290aa0e924,True,False,Certificado técnico; extrair apenas os campos aprovados.
JOTOCASSY-POR_25696(3).pdf,certificate,anc_or_orc_certificate,.pdf,229620,6e109568dffc32ce6d21522f2a01e307bdde4d4a6ab63b49da3ff120f88e75a0,True,False,Certificado técnico; extrair apenas os campos aprovados.
KAMBA-B_37 (1)(1).pdf,certificate,anc_or_orc_certificate,.pdf,283570,12d2d327ee13277091d71e90428cf773cbad467dbb7616de3e29888f9335e666,True,False,Certificado técnico; extrair apenas os campos aprovados.
LISTA DE INSCRITOS E TRIPULANTES.VAP (1).pdf,registration,entries_and_stage_participation,.pdf,49696,22339fca8435be38ad969f6f2fd6704d4f3c29899bd6ab4ddd4fd4fae97eba49,True,False,"Contém nomes, telefones e emails; apenas classe e participação podem ser normalizadas."
LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,registration,crew_licence_payment_internal_status,.pdf,61338,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,True,False,"Contém 201 nomes de tripulantes, licença desportiva, pagamento e observações. Uso exclusivamente interno; nos entregáveis só foram incluídos agregados."
MAR MEU - ORC(4).pdf,certificate,anc_or_orc_certificate,.pdf,994379,d536daf01cf93d17a56e5dd81e7efe6d01b1cbcd12a68adee586e0cfd5e27027,True,False,Certificado técnico; extrair apenas os campos aprovados.
MAR_DE_LEVANTE-DEN_5034(3).pdf,certificate,anc_or_orc_certificate,.pdf,135567,532c8bb27e9cfbc3095c5de280c7f58d7b06b7bf5d85bc3ad80680d7ad61d008,True,False,Certificado técnico; extrair apenas os campos aprovados.
ORC Certificate for FEITICO(4).pdf,certificate,anc_or_orc_certificate,.pdf,528214,5a4f54a09f24c8a61ad3cfaf00c6776caa3acb1e43d6dd1e2e5ba7fbd76ae51f,True,False,Certificado técnico; extrair apenas os campos aprovados.
ORC Certificate for MAKAI(4).pdf,certificate,anc_or_orc_certificate,.pdf,553882,956104f5a73061e5f47617103f2e1dddf75186f8362a311b2c80f429a0804fd2,True,False,Certificado técnico; extrair apenas os campos aprovados.
ORC Certificate for PAPA LEGUAS II (1)(1).pdf,certificate,anc_or_orc_certificate,.pdf,564714,4925690216315f0b37014c9ab64782af01e7df060adf1fefe42cdbddebab9122,True,False,Certificado técnico; extrair apenas os campos aprovados.
ORC Certificate for POCKET ROCKET(1).pdf,certificate,anc_or_orc_certificate,.pdf,441967,61e5a8b8525b1383a9d2dde0643e780bbe235f9ece6a997e32c696e13c5ed79e,True,False,Certificado técnico; extrair apenas os campos aprovados.
ORC Certificate for YEMAYA 2026(2).pdf,certificate,anc_or_orc_certificate,.pdf,409855,002b49b0af970b856fe045f16a999a7451e037bc14822f774737194f99ba6265,True,False,Certificado técnico; extrair apenas os campos aprovados.
PDF(1).pdf,certificate,anc_or_orc_certificate,.pdf,93923,350a5a4a9c58d5d13f634a04bc8f642d29920b41fa12b7a39055633e2da90143,True,False,Certificado técnico; extrair apenas os campos aprovados.
PEDE_MAR-GBR_1234_X(3).pdf,certificate,anc_or_orc_certificate,.pdf,135684,b8dd2f1484dc7fa60257cba9dd1daf89b1813df4af114dddd2c05198117eea1c,True,False,Certificado técnico; extrair apenas os campos aprovados.
PLAYTIME-ITA_15446_260721_224259(1).pdf,certificate,anc_or_orc_certificate,.pdf,113536,dae97b6b621adf96b4ea4450547629e4469ae833097a2b65f456612ac40c0177,True,False,Certificado técnico; extrair apenas os campos aprovados.
PROMPT_MESTRE_DESAFIO_VOLTA_A_VELA_2026(1)(1).md,specification,prompt_or_working_text,.md,28307,285dd840f7666dd7d0683c9aeeeadca24a40d3784607ef3259194608a361258a,False,False,Documento de especificação; não é dado operacional público.
PROMPT_MESTRE_DESAFIO_VOLTA_A_VELA_2026(1).md,specification,prompt_or_working_text,.md,28307,285dd840f7666dd7d0683c9aeeeadca24a40d3784607ef3259194608a361258a,False,False,Documento de especificação; não é dado operacional público.
PROMPT_MESTRE_DESAFIO_VOLTA_A_VELA_2026.md,specification,prompt_or_working_text,.md,28307,285dd840f7666dd7d0683c9aeeeadca24a40d3784607ef3259194608a361258a,False,False,Documento de especificação; não é dado operacional público.
RatingSENSIA-POR_8138-3(1).pdf,certificate,anc_or_orc_certificate,.pdf,124206,be94eff117ae34b02726a6fc16371453ad496479acc1f0e30f366fa74b95e9d4,True,False,Certificado técnico; extrair apenas os campos aprovados.
Safari(1).pdf,certificate,anc_or_orc_certificate,.pdf,91469,322bf9b5f71cee9d9ebb195044f8bd005a3b0175f9daa1924678e420df71b863,True,False,Certificado técnico; extrair apenas os campos aprovados.
Screenshot_20260723_233203_Chrome(1).jpg,certificate_evidence,farofino_orc_screenshot,.jpg,464571,da80d88145141c52cd2d112a7e7f633022d9f994ef0a1f6ab1065e7d5e35e55a,False,False,Evidência visual do certificado FAROFINO; pedir PDF original.
Screenshot_20260723_233303_Chrome(1).jpg,certificate_evidence,farofino_orc_screenshot,.jpg,419218,177b03dfd5c94098d3beaf62989670bc0b529b4ab9b4a8e4fe3663a392300282,False,False,Evidência visual do certificado FAROFINO; pedir PDF original.
Screenshot_20260723_233322_Chrome(1).jpg,certificate_evidence,farofino_orc_screenshot,.jpg,366140,f1e63aedfb64faea0c7ffd1d6a162a47c5dd7527dc762f19bf966e82713014d3,False,False,Evidência visual do certificado FAROFINO; pedir PDF original.
Texto colado (20).txt,specification,prompt_or_working_text,.txt,31215,43c81dc48a534d4865d7702f96ce9f5044f231dc32a774c83adc234855c05b62,False,False,Documento de especificação; não é dado operacional público.
VAP - Etapa 4 - Classe ANC (provisório).pdf,results_reference,provisional_results_excluded,.pdf,1112462,3dbf643f57773c80ca3948dd0fd4ac108d8b61f7451da3717e4af1a747c890d4,False,False,Resultados históricos/provisórios; excluídos da importação.
VAP - Etapa 4 - Classe ORC (provisório).pdf,results_reference,provisional_results_excluded,.pdf,831374,521384e419401e96f53ffd108b42fc726e27bdbba4532302d6d338b6c20f9736,False,False,Resultados históricos/provisórios; excluídos da importação.
VERITAS-ESP_9161 Abono ANC 2026(3).pdf,certificate,anc_or_orc_certificate,.pdf,229535,3d3c0e56afd3eb9a39c67b9d438e47749c187691e62ad020826ddf8e9a445f36,True,False,Certificado técnico; extrair apenas os campos aprovados.
WhatsApp Image 2026-07-22 at 10.51.51(4).jpeg,brand_asset,official_visual_asset,.jpeg,127207,847f27f38b13fdc22fdd3da532a970073c7d75e2a9890230f817f42b4c86cd19,False,True,Ativo visual institucional; preservar original.
