registration_id,boat_number_official,public_name,class,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8
E22,10,Allaboard49,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E04,6,Anthea,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E35,20,Azul XL,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E19,31,BALAYA,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E33,1,BIÃO II,ORC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E27,2,BLU,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E46,29,Farofino,ORC,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SIM
E29,30,Feitiço,ORC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E30,17,First Way,ANC,SIM,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SIM
E38,18,Foz do Ave,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E18,14,FUNBEL-NACEX,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E43,32,GRAOULLY,ANC,NÃO,NÃO,NÃO,NÃO,SIM,SIM,SIM,SIM
E01,35,Häcker Kitchen,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E13,11,IBERO'S,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E23,33,Jotocassy,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E39,28,KAMBA,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E15,8,Knot Work,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E36,15,MADRAÇO,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E06,9,MAKAI,ORC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E25,22,Mar de Levante,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E10,13,Mar Me Quer,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NÃO
E14,5,MAR MEU,ORC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E24,25,Papa Léguas II,ORC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E17,12,PEDE MAR/guronsan,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E34,24,Playtime,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E28,3,Pocket Rocket,ORC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E12,4,SENSIA,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E26,7,Sete Estrelo,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E44,34,Veritas,ANC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
E11,27,YEMAYA,ORC,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NÃO
